Nom,Type,Mentorat / coaching ,Incubation & accélération ,Formation & développement de compétences ,Réseautage & communauté ,Conseils techniques ou sectoriels ,Support administratif / réglementaire ,Support au marketing / commercialisation / accès au marché ,Support technologique / numérique ,ade,Accès aux infrastructures ou ressources physiques ,Soutien à l’innovation et recherche/développement (R&D),Soutien global de croissance & planification stratégique ,Type_organisation,OBNL?,Pallier Gouvernement,Localisation,Geographie,Site,Secteur,Modalite,Services,Public cible,Contacts,Autres,Onglet,Nombre d'entrées,Remarques,Geographie2
AG-Bio Centre,Incubateur,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,OBNL,TRUE,,Lévis,Lévis,https://agbiocentre.com,"Agroalimentaire, biotechnologie",Sélection par projet,"Laboratoires, mentorat, financement",Entreprises agroalimentaires,info@agbiocentre.com,Expertise en bio-industrie,,,,Québec
Apollo13,Accélérateur,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Privé,FALSE,,Montréal,Montréal,https://apollo13.co,Technologie,Sélection par projet,"Mentorat, financement, réseautage",Startups tech,info@apollo13.co,Focus sur croissance rapide,,,,Montréal
AQC Capital,Incubateur,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fonds d'investissement,FALSE,,,Montréal,https://www.aqccapital.com,,Investissements pour membres du Réseau Anges Québec,Financement,Entreprises technologiques,Non spécifié,"60 investissements, 4 sorties",,,,Montréal
BDC – Advisory Services,Conseil / Coaching,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Banque publique (BDC),FALSE,Fédéral,Canada (Toronto),Canada,https://www.bdc.ca/en/consulting,Multi‑sectoriel,Contact via site; service payant/subventionné,"Coaching stratégique, marketing, finances, digital",PME et startups,See website,Possibilité de diagnostic digital; offres pour PME,,,,Canada
BDC Women in Business / Programs for Women,Programmes / Mentorat / Services,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Banque publique (BDC),FALSE,Fédéral,Canada (national),Canada,https://www.bdc.ca/en/articles-tools/entrepreneurial-skills/women-entrepreneurs,Multi,Contact via BDC,"Conseil, programmes dédiés aux femmes entrepreneures",Femmes entrepreneurs,See site,Ressources et diagnostics,,,,Canada
Black Opportunity Fund – Black Entrepreneur Program,Mentorat / Formation / Soutien sectoriel,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fonds / OBNL,TRUE,Fédéral,Canada (national),Canada,https://blackopportunityfund.ca/funding-programs/black-entrepreneur-program/,Multi,Candidature en ligne,"Littératie financière, mentorat, accompagnement",Entrepreneurs noirs,Voir site,Appuis pour certifications,,,,Canada
BonjourStartup (programmes & ressources),Ressources / Communauté,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Communauté / média,FALSE,,Montréal,Montréal,https://bonjourstartup.com/,Multi,Accès libre / abonnements,"Guides, formations, événements",Entrepreneurs francophones,See site,Ressources en français pour startups,,,,Montréal
Brain Canada,Incubateur,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Organisation nationale,FALSE,,,Montréal,https://braincanada.ca,,Soutien à la recherche en neurosciences,"Financement, réseautage",Chercheurs et startups en neurosciences,Non spécifié,"4 investissements, 1 sortie",,,,Montréal
C2MI (MiQro Innovation),Centre prototypage microélectronique,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,PPP (gouvern. féd./prov.),FALSE,,,,c2mi.ca,"Microélectronique, MEMS, semiconducteurs",Partenariat industriel (adhésion/contrat),"Laboratoires de prototypage haute technologie (MEMS, circuits, assemblages)",Entreprises microélectronique,"45, Bd de l’Aéroport, Bromont QC J2L 1S8<br>450-534-8000<br[email protected]","Soutien fort de l’État (Canada, Québec); incubateur dans Technum Bromont",,,,Bromont (QC)
Canada Business (services d'information),Info / Orientation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fédéral (gov),FALSE,Fédéral,Canada (Toronto),Canada,https://www.canada.ca/en/services/business.html,Multi,Accès libre,"Guides, checklists, orientation",Toutes entreprises,voir site,Portail officiel pour démarches,,,,Canada
